DATA,MÊS,ANO,PRODUTO ,FORMA PGTO,QNTD,PRECO,TOTAL,Unnamed: 8,PRODUTO .1,PRECO.1
2022-01-01,Janeiro,2022,Produtos Higiene,Cartão de Débito,1,95.51,95.51,,Produtos Higiene,95.51
2022-01-01,Janeiro,2022,Ração,PIX,4,123.57,494.28,,Ração,123.57
2022-01-01,Janeiro,2022,Casinhas,Cartão de Débito,2,56.94,113.88,,Casinhas,56.94
2022-01-01,Janeiro,2022,Brinquedos,Cartão de Débito,1,89.56,89.56,,Brinquedos,89.56
2022-01-01,Janeiro,2022,Produtos Higiene,Cartão de Crédito,1,95.51,95.51,,,
2022-01-01,Janeiro,2022,Ração,Dinheiro,4,123.57,494.28,,,
2022-01-01,Janeiro,2022,Ração,Cartão de Débito,2,123.57,247.14,,,
2022-01-01,Janeiro,2022,Brinquedos,Cartão de Débito,1,89.56,89.56,,,
2022-01-01,Janeiro,2022,Ração,Cartão de Débito,2,123.57,247.14,,,
2022-01-02,Janeiro,2022,Casinhas,Cartão de Débito,2,56.94,113.88,,,
2022-01-02,Janeiro,2022,Brinquedos,Cartão de Débito,1,89.56,89.56,,,
2022-01-02,Janeiro,2022,Produtos Higiene,Dinheiro,2,95.51,191.02,,,
2022-01-02,Janeiro,2022,Casinhas,Cartão de Débito,1,56.94,56.94,,,
2022-01-02,Janeiro,2022,Ração,Dinheiro,3,123.57,370.71,,,
2022-01-02,Janeiro,2022,Casinhas,Dinheiro,1,56.94,56.94,,,
2022-01-02,Janeiro,2022,Ração,Cartão de Crédito,3,123.57,370.71,,,
2022-01-02,Janeiro,2022,Produtos Higiene,PIX,1,95.51,95.51,,,
2022-01-02,Janeiro,2022,Brinquedos,Cartão de Débito,1,89.56,89.56,,,
2022-01-02,Janeiro,2022,Produtos Higiene,Cartão de Débito,1,95.51,95.51,,,
2022-01-02,Janeiro,2022,Ração,PIX,2,123.57,247.14,,,
2022-01-02,Janeiro,2022,Ração,PIX,4,123.57,494.28,,,
